"Date","Day","Month","Year","Type","Country","Area","Location","Activity","Sex","Age","Injury","Fatal..Y.N.","Species","address","latitude","longitude"
"2-Jun-17",2,"Jun",2017,"Unprovoked","BAHAMAS","New Providence","Athol Island","Snorkeling","F",32,"Right forearm severed","N","Tiger shark","Athol Island , New Providence , BAHAMAS",25.08333,-77.26667
"27-May-17",27,"May",2017,"Invalid","AUSTRALIA","New South Wales","Evans Head","Fishing","M",73,"Abrasion to right forearm from pectoral fin of a shark that leapt into his boat","N","Unknown","Evans Head , New South Wales , AUSTRALIA",-29.1149,153.42848
"12-May-17",12,"May",2017,"Unprovoked","UNITED ARAB?EMIRATES","Sharjah,","Khor Fakkan","Fishing","M",41,"Right leg severely bitten","N","Unknown","Khor Fakkan , Sharjah, , UNITED ARAB?EMIRATES",25.3073165705615,56.2409662502936
"5-May-17",5,"May",2017,"Unprovoked","MEXICO","Baja California Sur","Los Arbolitos, Cabo Pulmo","Snorkeling","M",33,"FATAL","Y","Unknown","Los Arbolitos, Cabo Pulmo , Baja California Sur , MEXICO",22.8996978076434,-109.894958855833
"29-Apr-17",29,"Apr",2017,"Unprovoked","SOUTH AFRICA","Western Cape Province","Keurbooms, Plettenberg Bay","Surfing","M",14,"Minor injury to right calf","N","Unknown","Keurbooms, Plettenberg Bay , Western Cape Province , SOUTH AFRICA",-34.0521354132883,23.3399656605076
"29-Apr-17",29,"Apr",2017,"Unprovoked","USA","South Carolina","Folly Beach, Charleston County","Surfing","F",33,"Left foot bitten","N","Unknown","Folly Beach, Charleston County , South Carolina , USA",32.65522,-79.94062
"29-Apr-17",29,"Apr",2017,"Unprovoked","REUNION","Saint-Leu","Pointe au Sal","Paddle and Boogie boarding","M",28,"FATAL","Y","Unknown","Pointe au Sal , Saint-Leu , REUNION",-21.1990486876267,55.2837038512105
"22-Apr-17",22,"Apr",2017,"Unprovoked","ST HELENA, British overseas territory","Ascension Island","English Bay","Snorkeling","F",40,"Calf & foot bitten","N","Unknown","English Bay , Ascension Island , ST HELENA, British overseas territory",-7.94355936099993,-14.3671145939999
"17-Apr-17",17,"Apr",2017,"Unprovoked","AUSTRALIA","Western Australia","Kelpies near Wylie Bay","Surfing","F",17,"FATAL","Y","White shark","Kelpies near Wylie Bay , Western Australia , AUSTRALIA",-33.8323399999999,121.9909
"14-Apr-17",14,"Apr",2017,"Unprovoked","USA","Hawaii","Kekaha Beach, Kauai","Surfing","M",28,"Lower right leg severely injured","N","Tiger shark","Kekaha Beach, Kauai , Hawaii , USA",21.974089300508,-159.718098817097
